box,year,Clutch_size,ld,average_temperature_laying,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,Num_fledglings,Num_chicks,num_neighbors,Mother
B18,1986,7,131,10.25,11.6,11.2375,11.98125,15.90625,7,7,6,B068381
B16,1987,8,113,13.65625,9.953846154,8.68125,10.65625,12.99375,8,8,5,B068381
B226,1986,8,126,11.04375,11.07692308,11.4,11.375,15.16875,8,8,5,B068394
C121,1984,10,118,10.12,9.4,10.91875,12.2,14.875,10,10,4,B068555
SW104,1984,8,130,9.00625,10.96,10.44375,12.95625,15.44375,6,8,4,B068556
SW20,1984,9,133,9.572222222,11.02,13.50625,15.68125,15.325,8,9,3,B068565
MP90,1984,9,127,8.311111111,10.39285714,10.75,13.625,16.325,9,9,3,B068581
B33,1985,8,110,6.325,9.0575,11.7875,12.95625,12.48125,8,8,7,B068597
B136,1986,10,126,10.615,11.41923077,11.4875,10.925,15.78125,0,NA,8,B068597
B134,1987,10,112,13.215,9.507142857,8.86875,11.2625,12.9375,9,9,6,B068597
B168,1984,10,126,8.46,10.3625,11.53125,14.65,16.7875,8,10,5,B068600
B164,1985,10,115,7.305,10.33125,12.21875,12.8875,11.625,10,10,7,B068600
B52,1984,8,116,11.15,9.213888889,11.1375,10.75,13.625,8,8,6,B068653
B53,1985,9,110,6.138888889,8.825,11.4125,12.68125,13.44375,8,9,6,B068653
B151,1986,9,122,10.87777778,11.18928571,11.35,11.2625,13.6875,9,9,7,B068653
B78,1987,10,109,12.485,10.84583333,9.05625,9.3625,12.95,10,10,6,B068653
B211,1988,9,117,9.472222222,12.85357143,10.6375,11.9,12.13125,7,7,6,B068653
SW119,1984,8,124,8.7,10.01666667,10.75,13.625,16.325,8,8,4,B068654
SW118,1985,6,113,6,9.708695652,12.56875,13.1,11.10625,1,6,8,B068654
SW121,1988,7,117,8.928571429,12.21944444,10.9125,12.1125,12.05,6,6,7,B068654
SW104A,1984,8,124,8.7,10.24772727,12.2,14.875,16.2,7,8,4,B068656
SW103,1985,10,125,9.585,12.23666667,13.1,11.10625,11.70625,10,10,4,B068656
SW105,1986,10,123,10.865,11.265625,11.4875,10.925,15.78125,10,10,6,B068656
B94,1984,6,131,9.091666667,10.44666667,11.53125,14.65,16.7875,6,6,4,B068657
B49,1984,6,119,10.075,9.285,10.7875,11.7375,15.125,5,5,7,B068658
B64,1985,10,111,6.64,9.529411765,11.7875,12.95625,12.48125,9,10,5,B068658
B109,1984,9,130,9.116666667,10.37083333,11.225,14.1375,16.89375,8,9,5,B068661
B143,1984,7,132,9.378571429,10.68666667,12.2,14.875,16.2,6,6,5,B068662
B147,1985,9,124,9.494444444,11.24615385,12.95625,12.48125,11.34375,6,9,5,B068662
W27,1984,12,119,9.283333333,9.68,10.91875,12.2,14.875,9,12,9,B069042
W26,1985,11,112,7.018181818,9.834375,11.94375,12.9375,12.29375,11,11,7,B069042
W25,1986,15,130,11.19666667,11.57916667,10.925,15.78125,15.6875,13,15,7,B069042
