box,year,Mother,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,average_temperature_laying,Hf2_r,peak_food,mismatch
SW10,1965,BA42344,12.39333333,11.3,10.69375,14.4625,10.00714286,148,149,-1
SW10,1966,BA42344,11.39285714,11.41875,15.7375,16.8375,9.14375,154,155,-1
O36,1965,BA42394,12.10416667,12.5125,11.94375,11.525,8.491666667,148,143,5
EX2,1965,BA42396,11.73214286,12.5125,11.94375,11.525,7.595,148,143,5
W3,1967,BA42455,10.96333333,11.14375,12.84375,12.73125,8.175,156,151,5
W4A,1968,BA42455,8.658823529,12.56875,14.175,15.1,8.525,157,154,3
O12,1965,BA42495,12.715625,10.9125,10.675,13.3625,8.404545455,148,147,1
SW90,1965,BA42502,12.48571429,10.5875,13.8625,15.89375,12.5875,148,156,-8
B142,1967,BA42502,10.65588235,13.66875,12.95,14.5875,12.26428571,156,161,-5
B38,1968,BA42502,8.570588235,10.26875,14.55,13.79375,9.888888889,157,151,6
B119,1965,BA42515,12.7375,11.23125,12.46875,15.85,11.73888889,148,153,-5
C29,1965,BA42517,12.9625,11.26875,11.23125,12.46875,9.11875,148,145,3
C24A,1967,BA42517,10.296875,10.03125,11.14375,12.84375,8.114285714,156,143,13
C24A,1968,BA42517,8.628571429,8.68125,11.79375,14.45625,10.525,157,145,12
C4,1966,BA42518,10.86333333,10.99375,13.90625,17.14375,11.0125,154,152,2
C156,1967,BA42518,10.028125,10.1,11.3875,13.59375,9.15,156,146,10
B40,1966,BA42582,12.20384615,16.3375,15.725,14.78125,11.66111111,154,165,-11
B190,1965,BA42595,12.67857143,10.7125,12.8875,16.0625,11.32777778,148,154,-6
B25,1965,BA42659,12.60384615,11.9,10.9625,14.71875,10.64444444,148,150,-2
B226,1966,BA42659,10.73928571,11.20625,13.575,16.80625,11.0125,154,151,3
B24,1965,BA42663,12.52916667,10.7125,12.8875,16.0625,12.24,148,154,-6
B124,1966,BA42663,11.23571429,10.84375,14.375,17.53125,10.09444444,154,153,1
B87,1965,BA42664,12.73461538,11.23125,12.46875,15.85,11.4,148,153,-5
B87,1966,BA42664,11.365625,12.925,16.525,15.38125,9.278571429,154,158,-4
B186,1967,BA42664,10.67666667,13.41875,12.575,14.80625,12.09285714,156,160,-4
B177,1965,BA42673,12.67,10.9875,10.5875,13.8625,9.122222222,148,148,0
B116,1965,BA42682,12.61785714,11.825,11.9125,15.46875,10.805,148,152,-4
B145,1965,BA42687,13.2875,10.9875,10.5875,13.8625,9.665,148,148,0
B137,1966,BA42687,11.36923077,10.84375,14.375,17.53125,9.311111111,154,153,1
MP56,1965,BA42691,11.73214286,12.5125,11.94375,11.525,7.418181818,148,143,5
C119,1965,BA42725,9.563157895,14.3,10.9875,10.5875,6.14,148,140,8
B55,1965,BA42742,12.53846154,11.94375,11.525,15.18125,11.01666667,148,151,-3
SW103,1965,BA42754,12.10294118,11.9,10.9625,14.71875,8.959090909,148,150,-2
SW104,1966,BA42754,11.42083333,14.975,17.3375,14.25625,11.65,154,162,-8
SW102,1967,BA42754,9.985714286,10.89375,12.66875,12.8875,8.568181818,156,150,6
B71,1965,BA42764,12.53846154,11.94375,11.525,15.18125,10.805,148,151,-3
B171,1966,BA42764,11.09666667,10.89375,14.975,17.3375,10.09444444,154,154,0
MP81,1965,BA42790,12.42333333,11.94375,11.525,15.18125,10.02777778,148,151,-3
B134,1965,BA42807,12.38529412,11.0625,10.7125,12.8875,7.595,148,146,2
C39,1965,BA42993,11.99411765,11.26875,11.23125,12.46875,7.45,148,145,3
EX39,1965,BA43044,12.53214286,11.3,10.69375,14.4625,9.222727273,148,149,-1
CP35,1967,BA43060,11.00714286,10.1875,11.6125,13.46875,8.1875,156,147,9
B15,1965,BA43389,12.25263158,11.23125,12.46875,15.85,9.177272727,148,153,-5
B106,1967,BA44513,11.11071429,11.3125,13.41875,12.575,8.67,156,152,4
B113,1967,BA44515,10.93888889,11.30625,13.66875,12.95,8.688888889,156,153,3
B118,1968,BA44515,8.515789474,11.79375,14.45625,14.48125,9.98,157,153,4
B16,1970,BA44515,12.45384615,14.175,17.90625,16.2,13.43181818,155,156,-1
B117,1971,BA44515,11.57916667,12.475,10.8,12.99375,11.04375,155,162,-7
B229,1967,BA44517,10.09166667,11.6125,13.46875,13.65625,12.06875,156,155,1
B123,1970,BA44517,12.63181818,14.66875,18.4125,15.80625,12.49,155,157,-2
B227,1970,BA44537,12.35,13.89375,17.24375,16.50625,13.25909091,155,155,0
W60,1969,BA44539,11.48571429,11.81875,10.96875,15.475,10.05,158,152,6
B20,1970,BA44545,13.02307692,12.1875,13.89375,17.24375,10.32777778,155,147,8
SW6,1967,BA44623,10.93888889,11.30625,13.66875,12.95,8.46875,156,153,3
EX62I,1968,BA44623,8.8075,13.03125,14.05625,15.40625,8.885714286,157,155,2
SW5,1969,BA44623,11.33214286,11.04375,16.46875,13.40625,10.98571429,158,162,-4
W33,1965,BA44625,12.48571429,10.5875,13.8625,15.89375,12.5875,148,156,-8
SW104,1965,BA44662,12.7375,11.23125,12.46875,15.85,11.68181818,148,153,-5
O38,1965,BA44669,12.10294118,11.9,10.9625,14.71875,9.933333333,148,150,-2
O27A,1965,BA44713,12.9375,11.3,10.69375,14.4625,10.64444444,148,149,-1
O51,1965,BA44715,12.10294118,11.9,10.9625,14.71875,9.122222222,148,150,-2
W74,1965,BA44718,12.603125,11.0625,10.7125,12.8875,8.05625,148,146,2
